,state,state_po,year,candidate,party,candidatevotes,Electoral_College_Votes
332,Kansas,KS,2000,OTHER,OTHER,14522,6.0
333,Kansas,KS,2000,RALPH NADER,GREEN,36086,6.0
334,Kansas,KS,2004,GEORGE W. BUSH,REPUBLICAN,736456,6.0
335,Kansas,KS,2004,JOHN KERRY,DEMOCRAT,434993,6.0
336,Kansas,KS,2004,OTHER,OTHER,16307,6.0
337,Kansas,KS,2008,BARACK OBAMA,DEMOCRAT,514765,6.0
338,Kansas,KS,2008,JOHN MCCAIN,REPUBLICAN,699655,6.0
339,Kansas,KS,2008,OTHER,OTHER,21452,6.0
340,Kansas,KS,2012,BARACK OBAMA,DEMOCRAT,439908,6.0
341,Kansas,KS,2012,MITT ROMNEY,REPUBLICAN,689809,6.0
342,Kansas,KS,2012,OTHER,OTHER,26537,6.0
343,Kansas,KS,2016,DONALD TRUMP,REPUBLICAN,671018,6.0
344,Kansas,KS,2016,HILLARY CLINTON,DEMOCRAT,427005,6.0
345,Kansas,KS,2016,OTHER,OTHER,86380,6.0
346,Kansas,KS,2020,DONALD J TRUMP,REPUBLICAN,771406,6.0
347,Kansas,KS,2020,JO JORGENSEN,LIBERTARIAN,30574,6.0
348,Kansas,KS,2020,JOSEPH R BIDEN JR,DEMOCRAT,570323,6.0
349,Kentucky,KY,2000,AL GORE,DEMOCRAT,638898,8.0
350,Kentucky,KY,2000,GEORGE W. BUSH,REPUBLICAN,872492,8.0
351,Kentucky,KY,2000,OTHER,OTHER,9605,8.0
352,Kentucky,KY,2000,RALPH NADER,GREEN,23192,8.0
353,Kentucky,KY,2004,GEORGE W. BUSH,REPUBLICAN,1069439,8.0
354,Kentucky,KY,2004,JOHN KERRY,DEMOCRAT,712733,8.0
355,Kentucky,KY,2004,OTHER,OTHER,13688,8.0
356,Kentucky,KY,2008,BARACK OBAMA,DEMOCRAT,751985,8.0
357,Kentucky,KY,2008,JOHN MCCAIN,REPUBLICAN,1048462,8.0
358,Kentucky,KY,2008,OTHER,OTHER,26061,8.0
359,Kentucky,KY,2012,BARACK OBAMA,DEMOCRAT,679370,8.0
360,Kentucky,KY,2012,MITT ROMNEY,REPUBLICAN,1087190,8.0
361,Kentucky,KY,2012,OTHER,OTHER,30652,8.0
362,Kentucky,KY,2016,DONALD TRUMP,REPUBLICAN,1202971,8.0
363,Kentucky,KY,2016,HILLARY CLINTON,DEMOCRAT,628854,8.0
364,Kentucky,KY,2016,OTHER,OTHER,92324,8.0
365,Kentucky,KY,2020,DONALD J TRUMP,REPUBLICAN,1326418,8.0
366,Kentucky,KY,2020,JO JORGENSEN,LIBERTARIAN,26217,8.0
367,Kentucky,KY,2020,JOSEPH R BIDEN JR,DEMOCRAT,772285,8.0
368,Kentucky,KY,2020,OTHER,OTHER,10076,8.0
369,Louisiana,LA,2000,AL GORE,DEMOCRAT,792344,8.0
370,Louisiana,LA,2000,GEORGE W. BUSH,REPUBLICAN,927871,8.0
371,Louisiana,LA,2000,OTHER,OTHER,24968,8.0
372,Louisiana,LA,2000,RALPH NADER,GREEN,20473,8.0
373,Louisiana,LA,2004,GEORGE W. BUSH,REPUBLICAN,1102169,8.0
374,Louisiana,LA,2004,JOHN KERRY,DEMOCRAT,820299,8.0
375,Louisiana,LA,2004,OTHER,OTHER,20638,8.0
376,Louisiana,LA,2008,BARACK OBAMA,DEMOCRAT,781574,8.0
