,state,year,candidate,candidatevotes,Electoral_College_Votes,candidatevotespercent
190,New Mexico,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[385234|319667|93418]",5.0,"[48.26|40.04|11.7]"
191,New Mexico,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[501614|401894|4426|12585|3446]",5.0,"[54.29|43.5|0.48|1.36|0.37]"
192,New York,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[4107697|2403374|244030|66898]",29.0,"[60.21|35.23|3.58|0.98]"
193,New York,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[4180755|2806993|403288]",29.0,"[56.57|37.98|5.46]"
194,New York,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[4769700|2742298|79235]",29.0,"[62.83|36.12|1.04]"
195,New York,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[4324228|2223397|514300]",29.0,"[61.23|31.48|7.28]"
196,New York,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[4547562|2814589|345212]",29.0,"[59.0|36.52|4.48]"
197,New York,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[5230985|3244798|32753|60234|92965]",29.0,"[60.39|37.46|0.38|0.7|1.07]"
198,North Carolina,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[1257692|1631163|0|22407]",15.0,"[43.2|56.03|0.0|0.77]"
199,North Carolina,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[1525849|1961166|13992]",15.0,"[43.58|56.02|0.4]"
200,North Carolina,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[2142651|2128474|39664]",15.0,"[49.7|49.38|0.92]"
201,North Carolina,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[2178391|2270395|56586]",15.0,"[48.35|50.39|1.26]"
